district_code,district_name,state_code,state_name,complex_code,court_name,est_code,cino,case_no,fil_no,fil_year,reg_no,reg_year,type_name,date_of_decision,date_of_filing,dt_regis,disp_name,disp_nature
4,Morigaon,6,Assam,101,"Chief Judicial Magistrate,Morigaon",ASMR04,ASMR040002042017,200600001792017,197,2017,179,2017,Complaint Case ( C R),2017-06-07,2017-02-22,2017-02-22,Disposed on Uncontest,36
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010006922014,206900000192014,606,2014,19,2014,Sessions ( Spl.),2014-11-26,2014-10-17,2014-10-17,Disposed on Uncontest,36
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010006372019,209900000442019,513,2019,44,2019,POCSO Act,2020-01-21,2019-06-11,2019-06-11,TRANSFER,1
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010002572017,209900000102017,201,2017,10,2017,POCSO Act,2017-05-17,2017-03-23,2017-03-23,Disposed on Uncontest,36
4,Morigaon,6,Assam,101,"Chief Judicial Magistrate,Morigaon",ASMR04,ASMR040015312015,200600007022015,1110,2015,702,2015,Complaint Case ( C R),2016-03-30,2015-07-08,2015-07-08,Disposed on Uncontest,36
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010008012019,209900000752019,656,2019,75,2019,POCSO Act,2020-02-29,2019-07-10,2019-07-10,TRANSFER,1
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010012502018,209900000702018,975,2018,70,2018,POCSO Act,2020-02-12,2018-12-19,2018-12-19,TRANSFER,1
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010008812016,206900000332016,683,2016,33,2016,Sessions ( Spl.),2020-02-28,2016-09-29,2016-09-29,TRANSFER,1
4,Morigaon,6,Assam,101,"Chief Judicial Magistrate,Morigaon",ASMR04,ASMR040015322015,200600007032015,1111,2015,703,2015,Complaint Case ( C R),2018-03-03,2015-07-08,2015-07-08,Disposed on Uncontest,36
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010010512017,209900000442017,843,2017,44,2017,POCSO Act,2018-02-27,2017-11-01,2017-11-01,TRANSFER,1
4,Morigaon,6,Assam,101,"Chief Judicial Magistrate,Morigaon",ASMR04,ASMR040001992017,200600001742017,192,2017,174,2017,Complaint Case ( C R),2017-04-11,2017-02-21,2017-02-21,Disposed on Uncontest,36
4,Morigaon,6,Assam,101,"District and Sessions Judge,Morigaon",ASMR01,ASMR010013592019,209900001062019,1111,2019,106,2019,POCSO Act,2020-03-16,2019-10-31,2019-10-31,TRANSFER,1
