cino,date_of_decision,dt_regis,reg_year_date,case_age_days,case_age_months,case_age_years
DLSH010029982018,NA,05/05/2018,2018,696,23.2 ,1.91 
DLSH010000682019,NA,05/01/2019,2016,451,15.0 ,1.24 
DLSH010051472019,NA,06/08/2019,2016,238,7.9 ,0.65 
DLSH010023912018,NA,16/04/2018,2017,715,23.8 ,1.96 
DLSH010000202017,NA,02/01/2017,2017,1184,39.5 ,3.24 
DLSH010010502014,09/10/2019,25/07/2014,2017,1902,63.4 ,5.21 
DLSH010004932015,NA,29/07/2015,2020,1707,56.9 ,4.68 
DLSH010007332020,NA,24/01/2020,2016,67,2.2 ,0.18 
DLSH010032872018,NA,15/05/2018,2015,686,22.9 ,1.88 
DLSH010020542015,NA,08/04/2015,2017,1819,60.6 ,4.98 
DLSH010079572018,NA,29/11/2018,2015,488,16.3 ,1.34 
DLSH010036592017,NA,06/06/2017,2014,1029,34.3 ,2.82 
DLSH010050652018,23/10/2019,31/07/2018,2014,449,15.0 ,1.23 
DLSH010005822015,NA,12/03/2015,2013,1846,61.5 ,5.06 
DLSH010013412015,NA,27/11/2015,2018,1586,52.9 ,4.35 
DLSH010052582019,NA,09/08/2019,2019,235,7.8 ,0.64 
DLSH010016032017,NA,08/03/2017,2018,1119,37.3 ,3.07 
DLSH010052492018,NA,07/08/2018,2018,602,20.1 ,1.65 
DLSH010004522019,10/12/2019,18/01/2019,2020,326,10.9 ,0.89 
DLSH010060422018,NA,11/09/2018,2014,567,18.9 ,1.55 
DLSH010043972018,NA,05/07/2018,2016,635,21.2 ,1.74 
DLSH010016732020,NA,18/02/2020,2015,42,1.4 ,0.12 
DLSH010006662020,NA,23/01/2020,2018,68,2.3 ,0.19 
DLSH010009092015,NA,10/03/2015,2016,1848,61.6 ,5.06 
DLSH010044572017,NA,13/07/2017,2014,992,33.1 ,2.72 
DLSH010070102019,NA,22/10/2019,2017,161,5.4 ,0.44 
DLSH010059002017,NA,12/09/2017,2017,931,31.0 ,2.55 
DLSH010011602014,NA,17/11/2014,2017,1961,65.4 ,5.37 
DLSH010067702018,NA,05/10/2018,2019,543,18.1 ,1.49 
DLSH010082962018,26/04/2019,12/12/2018,2014,135,4.5 ,0.37 
DLSH010064982016,10/10/2019,23/09/2016,2019,1112,37.1 ,3.05 
DLSH010025742019,NA,16/04/2019,2014,350,11.7 ,0.96 
DLSH010054422019,NA,20/08/2019,2014,224,7.5 ,0.61 
DLSH010074082019,NA,19/11/2019,2013,133,4.4 ,0.36 
DLSH010008342019,NA,05/02/2019,2014,420,14.0 ,1.15 
