state_name,district_name,court_name,est_code,updated_type_name,updated_disp_name,disp_nature,fil_year,reg_year_date,decision_year,age_interval,total_cases
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,76,2018,2018,2020,one to two years,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,76,2019,2019,2019,less than one month,4
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,76,2019,2019,2019,one to three months,6
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,76,2019,2019,2019,six months to one year,7
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,76,2019,2019,2019,three to six months,10
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,76,2019,2019,2020,less than one month,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,76,2019,2019,2020,one to two years,2
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Acquitted,76,2019,2019,2020,six months to one year,6
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Case is filed,21,2019,2019,2019,six months to one year,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Case is filed,21,2019,2019,2020,one to two years,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Converted,74,2018,2018,2019,one to two years,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Convicted,11,2016,2016,2019,two to three years,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Convicted,11,2017,2017,2019,one to two years,2
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Convicted,11,2017,2017,2019,two to three years,1
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Convicted,11,2018,2018,2019,one to two years,7
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Convicted,11,2018,2018,2019,six months to one year,5
Assam,Barpeta,District and Sessions Judge,ASBR01,Special (POCSO) Case,Convicted - Fined,63,2017,2017,2019,one to two years,1
