state_name,district_name,updated_disp_name,disp_nature,fil_year,reg_year_date,decision_year,total_cases
Assam,Barpeta,Acquitted,10,2016,2016,2019,3
Assam,Sivasagar,Disposed otherwise,2,2015,2015,2015,1
Assam,Cachar,Convicted,11,2017,2017,2019,1
Assam,Kokrajhar,Acquitted,10,2018,2018,2019,9
Assam,Morigaon,Convicted,11,2015,2015,2018,1
Delhi,Central,Convicted - Fined,7,2013,2013,2018,5
Delhi,West,Quashed,17,2014,2014,2014,1
Haryana,Rohtak,Convicted,24,2015,2015,2017,7
Haryana,Fatehabad,Convicted,24,2017,2017,2018,7
Haryana,Jhajjar,Acquitted,25,2014,2014,2014,5
Delhi,Shahdara,Cancelled,53,2017,2017,2019,2
Delhi,North,Acquitted,1,2013,2013,2018,3
Assam,Karbi Anglong,Transferred,1,2019,2019,2020,2
Assam,Udalguri,Acquitted,10,2018,2018,2020,1
Assam,Lakhimpur,Acquitted,10,2018,2018,2018,4
Assam,Dibrugarh,Acquitted,10,2015,2015,2020,1
Delhi,North,Discharged,3,2017,2017,2018,1
Assam,Cachar,Abated,13,2018,2018,2020,1
Delhi,Shahdara,PO Consigned,12,2019,2019,2019,2
Assam,Nagaon,Transferred,36,2017,2017,2020,1
Delhi,Central,Abated,5,2014,2014,2017,1
Delhi,North West,Convicted - Fined,7,2016,2016,2019,4
Delhi,Central,Quashed,17,2015,2015,2018,2
Assam,Kamrup,Acquitted,10,2017,2015,2017,1
Assam,Goalpara,Case is filed,21,2019,2019,2019,1
Haryana,Hisar,Decreed with costs,9,2018,2018,2018,1
Assam,Kamrup Metro,Acquitted,10,2018,2018,2020,1
Assam,Kamrup,Case is filed,21,2014,2014,2018,1
Haryana,Jhajjar,Acquitted,25,2018,2018,2019,40
Assam,Dibrugarh,Acquitted,10,2017,2017,2017,3
Haryana,Jhajjar,Acquitted,25,2017,2017,2017,7
Delhi,South,Dismissed,25,2018,2018,2018,1
Haryana,Jhajjar,Convicted,24,2017,2017,2019,6
Assam,Darrang,Stayed,32,2019,2019,2019,1
Delhi,Central,Convicted - Fined,7,2016,2016,2018,6
Assam,Golaghat,Case is filed,21,2019,2019,2020,3
Assam,Dhemaji,Acquitted,10,0   ,2015,2017,2
Assam,Kamrup,Acquitted,10,2017,2017,2019,6
Haryana,Hisar,Convicted,24,2016,2016,2017,6
Assam,Bongaigaon,Convicted,11,2018,2018,2018,1
Assam,Udalguri,Convicted,11,2015,2015,2019,1
Haryana,Hisar,Acquitted,25,2016,2016,2017,11
Assam,Chirang,Acquitted,10,2018,2017,2018,1
Delhi,West,Quashed,17,2015,2015,2020,1
Assam,Kamrup,Acquitted,10,2015,2015,2019,1
Delhi,South West,Acquitted,1,2018,2018,2020,3
Delhi,North West,Acquitted,1,2020,2020,2020,1
Assam,Kamrup,Abated,13,2019,2019,2019,1
Delhi,Central,Convicted - Fined,7,2014,2014,2015,1
Haryana,Panipat,Acquitted,25,2019,2019,2020,5
Haryana,Panchkula,Disposed otherwise,1008,2019,2019,2019,1
Assam,Nalbari,Acquitted,10,2018,2018,2020,5
Haryana,Gurugram,Allowed,15,2017,2017,2017,1
Assam,Cachar,Convicted,11,2015,2015,2016,1
Delhi,North,Convicted,2,2014,2014,2019,2
Haryana,Sonepat,Consigned,38,2014,2014,2015,1
Assam,Kokrajhar,Transferred,1,0   ,2015,2015,1
Haryana,Kurukshetra,Acquitted,25,2019,2019,2019,1
Delhi,South West,Convicted - Fined,7,2017,2018,2018,1
Haryana,Fatehabad,Acquitted,25,2015,2015,2016,8
Delhi,North,Quashed,17,2018,2018,2019,2
Delhi,West,Acquitted,1,2013,2013,2017,7
Assam,Sivasagar,Convicted,11,2014,2014,2019,1
Delhi,South East,Allowed,31,2016,2016,2018,1
Delhi,Central,PO Consigned,12,2014,2014,2016,1
Assam,Sonitpur,Case is filed,21,2020,2020,2020,7
Haryana,Hisar,Disposed of as withdrawn with permission to file fresh,2,2016,2016,2016,1
Assam,Sivasagar,Acquitted,10,2017,2017,2019,10
Haryana,Sonepat,Acquitted,25,2018,2018,2019,24
Haryana,Panchkula,Acquitted,25,2016,2016,2016,1
Delhi,North,Convicted - Probation,43,2015,2015,2018,1
Assam,Barpeta,Convicted,11,2017,2017,2019,3
Delhi,North East,Adjourned Sine die,41,2019,2019,2019,1
Assam,Bongaigaon,Acquitted,10,2017,2016,2019,1
Delhi,North,Acquitted,1,2014,2014,2019,6
Delhi,West,Convicted - Plead Guilty,24,2017,2017,2018,1
Delhi,Central,Disposed,8,2013,2013,2015,1
Haryana,Sonepat,Transferred,1,2016,2016,2016,1
Haryana,Sirsa,Convicted,24,2017,2017,2019,4
Assam,Dibrugarh,Disposed,30,2015,2015,2018,1
Assam,Lakhimpur,Acquitted,10,2017,2017,2019,3
Delhi,Central,Convicted - Fined,7,2017,2017,2019,9
Haryana,Sirsa,Convicted,24,2014,2014,2016,2
Delhi,South West,Allowed,31,2019,2019,2019,5
Assam,Baksa,Case is filed,21,2018,2018,2018,1
Haryana,Ambala,Acquitted,25,2016,2016,2016,8
Delhi,North,Further investigation ordered,52,2018,2018,2018,1
Assam,Jorhat,Convicted,11,2018,2018,2020,2
Delhi,West,Acquitted,1,2015,2015,2019,15
Haryana,Jhajjar,Acquitted,25,2016,2016,2018,6
Delhi,West,Convicted,2,2013,2013,2014,3
Assam,Lakhimpur,Stayed,45,2017,2017,2018,1
Delhi,West,PO Consigned,12,2019,2019,2019,3
Haryana,Ambala,Acquitted,25,2017,2017,2017,4
Delhi,North West,Acquitted,1,2017,2017,2019,15
Haryana,Gurugram,Acquitted,25,2016,2016,2018,3
Delhi,North West,Acquitted,1,2016,2016,2018,16
Assam,Morigaon,Disposed uncontest,36,2017,2017,2018,5
Delhi,West,Quashed,17,2018,2018,2019,2
Delhi,South West,Allowed,31,2016,2016,2016,1
Assam,Bongaigaon,Acquitted,10,2017,2017,2018,6
Assam,Golaghat,Disposed otherwise,2,2016,2016,2018,1
Delhi,West,Abated,5,2014,2014,2014,2
Delhi,West,Acquitted,1,2015,2015,2015,2
Assam,Kamrup,Judgement delivered,34,2018,2018,2018,1
Assam,Dhemaji,Transferred,1,2017,2017,2017,1
Haryana,Panchkula,Convicted,24,2019,2019,2020,1
Assam,Darrang,Acquitted,10,2019,2019,2020,6
Delhi,Central,Quashed,17,2013,2013,2019,1
Haryana,Rohtak,Convicted,24,2015,2015,2018,1
Assam,Hailakandi,Acquitted,10,2017,2017,2017,1
Delhi,North West,Acquitted,1,2015,2013,2019,1
Assam,Morigaon,Acquitted,10,2019,2019,2019,1
Assam,Jorhat,Acquitted,10,0   ,2013,2017,2
Delhi,South West,Abated,5,2016,2016,2019,1
Assam,Kamrup,Transferred,1,2016,2016,2017,1
Delhi,South,Convicted,2,2014,2015,2020,4
